ra1,dec1,ra2,dec2,name,distance
240.360833,29.851111,239.397083,26.877778,Corona Borealis,3.0918577054755527
182.103333,-24.728889,182.53125,-22.619722,Corvus,2.1452615814466873
183.951667,-17.541944,182.53125,-22.619722,Corvus,5.2499452849249595
183.951667,-17.541944,187.46625,-16.515556,Corvus,3.513647333364619
188.596667,-23.396667,187.46625,-16.515556,Corvus,6.962526955442745
188.596667,-23.396667,182.53125,-22.619722,Corvus,5.636249152793984
167.914583,-22.825833,164.94375,-18.298889,Crater,5.312661566924909
169.835417,-14.778611,164.94375,-18.298889,Crater,5.862757825736131
169.835417,-14.778611,171.220417,-17.683889,Crater,3.19507670420535
167.914583,-22.825833,171.220417,-17.683889,Crater,6.004073765991147
176.190833,-18.350833,171.220417,-17.683889,Crater,4.773327245978849
176.190833,-18.350833,179.00375,-17.150833,Crater,2.9353964853675096
174.170417,-9.802222,179.00375,-17.150833,Crater,8.721134869412385
174.170417,-9.802222,171.1525,-10.859444,Crater,3.151554316503467
169.835417,-14.778611,171.1525,-10.859444,Crater,4.124128506817778
186.649583,-63.099167,187.79125,-57.113333,Crux,6.01256937918855
183.78625,-58.748889,191.93,-59.688611,Crux,4.2693327674677235
292.680417,27.959722,299.076667,35.083333,Cygnus,8.965764615923765
305.557083,40.256667,299.076667,35.083333,Cygnus,7.281148986317894
305.557083,40.256667,310.357917,45.280278,Cygnus,6.13397745257997
305.557083,40.256667,296.24375,45.130833,Cygnus,8.394416526631986
292.42625,51.729722,296.24375,45.130833,Cygnus,7.06583849239604
292.42625,51.729722,289.275833,53.368611,Cygnus,2.52067005853424
305.557083,40.256667,311.552917,33.970278,Cygnus,7.893657693750029
318.234167,30.226944,311.552917,33.970278,Cygnus,6.78322363437945
318.234167,30.226944,326.035833,28.742778,Cygnus,6.949916605284716
308.303333,11.303333,309.3875,14.595278,Delphinus,3.457302107125116
310.864583,15.074444,309.3875,14.595278,Delphinus,1.5060975276557087
310.864583,15.074444,311.664583,16.124167,Delphinus,1.3021588880250392
309.909583,15.911944,311.664583,16.124167,Delphinus,1.7001529846290269
309.909583,15.911944,309.3875,14.595278,Delphinus,1.4097161423346036
64.006667,-51.486667,68.499167,-55.045,Dorado,4.4569484347996156
83.40625,-62.489722,68.499167,-55.045,Dorado,10.684308093559284
83.40625,-62.489722,88.525417,-63.09,Dorado,2.4157854156348093
86.193333,-65.735556,88.525417,-63.09,Dorado,2.830326517827294
86.193333,-65.735556,83.40625,-62.489722,Dorado,3.465614576778966
172.850833,69.331111,188.370833,69.788333,Draco,5.424491482589396
211.097083,64.375833,188.370833,69.788333,Draco,10.281985089719145
211.097083,64.375833,231.2325,58.966111,Draco,10.911937365473673
240.472083,58.565278,231.2325,58.966111,Draco,4.803949594318425
240.472083,58.565278,245.997917,61.514167,Draco,4.036092710290037
257.196667,65.714722,245.997917,61.514167,Draco,6.496470240212839
257.196667,65.714722,275.264167,72.732778,Draco,9.429420582426067
288.8875,73.355556,275.264167,72.732778,Draco,4.012447585196369
288.8875,73.355556,297.043333,70.267778,Draco,3.9950412456830264
288.13875,67.661667,297.043333,70.267778,Draco,4.117327732708252
288.13875,67.661667,268.382083,56.872778,Draco,14.046985176189887
263.066667,55.173056,268.382083,56.872778,Draco,3.421129590846901
263.066667,55.173056,262.608333,52.301389,Draco,2.8844176187094175
269.151667,51.488889,262.608333,52.301389,Draco,4.117314918231495
269.151667,51.488889,268.382083,56.872778,Draco,5.402600665719575
317.585417,10.131667,318.620417,10.006944,Equuleus,1.0266613262363649
320.723333,6.811111,318.620417,10.006944,Equuleus,3.8131122011494107
320.723333,6.811111,318.955833,5.247778,Equuleus,2.3523173361428222
317.585417,10.131667,318.955833,5.247778,Equuleus,5.069083392133512
69.545,-14.303889,77.286667,-8.754167,Eridanus,9.395988608884982
77.286667,-8.754167,76.9625,-5.086389,Eridanus,3.6818632805426565
73.22375,-5.452778,76.9625,-5.086389,Eridanus,3.7409219033188785
73.22375,-5.452778,71.375417,-3.254722,Eridanus,2.8683917638035386
69.079583,-3.3525,71.375417,-3.254722,Eridanus,2.2941026300391045
69.079583,-3.3525,55.812083,-9.763333,Eridanus,14.650273656354289
53.2325,-9.458333,55.812083,-9.763333,Eridanus,2.561590461594374
53.2325,-9.458333,48.958333,-8.819722,Eridanus,4.267910247294419
44.107083,-8.898056,48.958333,-8.819722,Eridanus,4.793983245070031
44.107083,-8.898056,41.275833,-18.5725,Eridanus,10.056721041945972
45.597917,-23.624444,41.275833,-18.5725,Eridanus,6.462638762781926
45.597917,-23.624444,49.879167,-21.757778,Eridanus,4.368380665202212
53.447083,-21.632778,49.879167,-21.757778,Eridanus,3.3174572894910836
53.447083,-21.632778,56.712083,-23.249722,Eridanus,3.4234525548147063
68.8875,-30.562222,56.712083,-23.249722,Eridanus,13.07598049561051
68.8875,-30.562222,66.009167,-34.016944,Eridanus,4.225090206447578
64.47375,-33.798333,66.009167,-34.016944,Eridanus,1.292903088257492
64.47375,-33.798333,57.36375,-36.200278,Eridanus,6.297957852146956
57.149583,-37.620556,57.36375,-36.200278,Eridanus,1.430562685847058
57.149583,-37.620556,49.982083,-43.069722,Eridanus,7.710235766577922
44.565417,-40.304722,49.982083,-43.069722,Eridanus,4.898150527334825
44.565417,-40.304722,40.166667,-39.855556,Eridanus,3.395152910650086
39.95,-42.891667,40.166667,-39.855556,Eridanus,3.040458025750861
39.95,-42.891667,36.74625,-47.703889,Eridanus,5.312564384994701
34.1275,-51.512222,36.74625,-47.703889,Eridanus,4.168621740134025
34.1275,-51.512222,28.989583,-51.608889,Eridanus,3.1949807789508333
34.1275,-51.512222,24.42875,-57.236667,Eridanus,8.028249899455881
42.2725,-32.405833,48.017917,-28.986944,Fornax,6.00633534467012
101.3225,12.895556,109.523333,16.540278,Gemini,8.727204197403482
110.030833,21.982222,109.523333,16.540278,Gemini,5.462970615729908
110.030833,21.982222,106.027083,20.570278,Gemini,3.9888771285381455
99.427917,16.399167,106.027083,20.570278,Gemini,7.51944583410192
110.030833,21.982222,113.980417,26.895833,Gemini,6.087609054679905
116.111667,24.398056,113.980417,26.895833,Gemini,3.1510506841126813
116.32875,28.026111,113.980417,26.895833,Gemini,2.370463137932156
111.431667,27.798056,113.980417,26.895833,Gemini,2.436986090086437
111.431667,27.798056,107.785,30.245278,Gemini,4.0191316141782805
113.65,31.888333,107.785,30.245278,Gemini,5.2847247525891055
103.197083,33.961111,107.785,30.245278,Gemini,5.375649393574923
100.982917,25.131111,107.785,30.245278,Gemini,7.898106579864752
100.982917,25.131111,97.240833,20.212222,Gemini,6.008859730195448
100.982917,25.131111,95.74,22.513611,Gemini,5.463165786410654
93.719167,22.506667,95.74,22.513611,Gemini,1.8668680970638978
93.719167,22.506667,91.03,23.263333,Gemini,2.590409016000958
328.482083,-37.365,331.52875,-39.543333,Grus,3.230321086646894
332.058333,-46.961111,331.52875,-39.543333,Grus,7.427748551970172
332.058333,-46.961111,337.3175,-43.495556,Grus,5.070253966556229
346.72,-43.520556,337.3175,-43.495556,Grus,6.815836659065199
346.72,-43.520556,347.59,-45.246667,Grus,1.8346483016478614
340.667083,-46.884722,347.59,-45.246667,Grus,5.072886194377536
340.667083,-46.884722,332.058333,-46.961111,Grus,5.8771595992847745
340.667083,-46.884722,342.13875,-51.316944,Grus,4.5354895206029155
340.667083,-46.884722,345.22,-52.754167,Grus,6.56029953558058
245.48,19.153056,247.555,21.489722,Hercules,3.0406499468359427
250.321667,31.603056,247.555,21.489722,Hercules,10.410426730557896
250.321667,31.603056,255.0725,30.926389,Hercules,4.116542147489419
262.684583,26.110556,255.0725,30.926389,Hercules,8.23789985969381
262.684583,26.110556,258.757917,24.839167,Hercules,3.765755479357504
262.684583,26.110556,266.614583,27.720556,Hercules,3.8561208913397325
269.44125,29.247778,266.614583,27.720556,Hercules,2.9161882724135872
269.44125,29.247778,271.885833,28.7625,Hercules,2.1923076121418084
258.761667,36.809167,255.0725,30.926389,Hercules,6.630982922580505
258.761667,36.809167,259.417917,37.291667,Hercules,0.7121249750436507
260.920833,37.145833,259.417917,37.291667,Hercules,1.2056590859396747
260.920833,37.145833,269.063333,37.250556,Hercules,6.484745862477668
264.86625,46.006389,269.063333,37.250556,Hercules,9.29730972660716
258.761667,36.809167,250.724167,38.922222,Hercules,6.684987310624176
250.321667,31.603056,250.724167,38.922222,Hercules,7.326515687226974
248.525833,42.436944,250.724167,38.922222,Hercules,3.889690020888357
248.525833,42.436944,244.935,46.313333,Hercules,4.647930287361303
242.1925,44.935,244.935,46.313333,Hercules,2.3616591490606695
242.1925,44.935,238.16875,42.451667,Hercules,3.8242278184019907
45.903333,-59.737778,40.165,-54.55,Horologium,6.045265105756347
63.500417,-42.294444,40.165,-54.55,Horologium,19.589729254904586
129.689167,3.341389,130.80625,3.398611,Hydra,1.1166183269361782
129.689167,3.341389,129.414167,5.703611,Hydra,2.378074165937234
131.694167,6.418889,129.414167,5.703611,Hydra,2.377390600239329
131.694167,6.418889,132.108333,5.837778,Hydra,0.7122268077798954
130.80625,3.398611,132.108333,5.837778,Hydra,2.7629160270244366
